event_name,adjust_android,firebase_android,facebook_android,adjust_ios,firebase_ios,facebook_ios
first_open,pgglmv,gf_first_open,fb_first_open,rothok,gf_gf_first_open,fb_fb_first_open
start_download,yvjbr7,gf_start_download,fb_start_download,uo11em,gf_gf_start_download,fb_fb_start_download
complete_download,3xa89z,gf_complete_download,fb_complete_download,mmdow6,gf_gf_complete_download,fb_fb_complete_download
start_install,bxo05m,gf_start_install,fb_start_install,kf8ifm,gf_gf_start_install,fb_fb_start_install
complete_install,9xs7vp,gf_complete_install,fb_complete_install,pbvol2,gf_gf_complete_install,fb_fb_complete_install
login,e54rgy,gf_login,fb_login,xp6mbv,gf_gf_login,fb_fb_login
start_registration,lal3y2,gf_start_registration,fb_start_registration,qdipcy,gf_gf_start_registration,fb_fb_start_registration
complete_registration,p0f422,gf_complete_registration,fb_complete_registration,ow4caa,gf_gf_complete_registration,fb_fb_complete_registration
start_prologue,w71m55,gf_start_prologue,fb_start_prologue,vvf4bx,gf_gf_start_prologue,fb_fb_start_prologue
complete_prologue,f4bzr7,gf_complete_prologue,fb_complete_prologue,356tj6,gf_gf_complete_prologue,fb_fb_complete_prologue
create_role,t4tg7q,gf_create_role,fb_create_role,5t4j77,gf_gf_create_role,fb_fb_create_role
purchase,c16qg8,gf_purchase,fb_purchase,fwueya,gf_gf_purchase,fb_fb_purchase
first_puchase,cphn9p,gf_first_puchase,fb_first_puchase,12rhf7,gf_gf_first_puchase,fb_fb_first_puchase
purchase_0_99,bz38jv,gf_purchase_0_99,fb_purchase_0_99,99yj9i,gf_gf_purchase_0_99,fb_fb_purchase_0_99
purchase_1_99,xzugwy,gf_purchase_1_99,fb_purchase_1_99,2da9j9,gf_gf_purchase_1_99,fb_fb_purchase_1_99
purchase_2_99,mecb1j,gf_purchase_2_99,fb_purchase_2_99,lbs8wq,gf_gf_purchase_2_99,fb_fb_purchase_2_99
purchase_3_99,xq3qxj,gf_purchase_3_99,fb_purchase_3_99,7h3h51,gf_gf_purchase_3_99,fb_fb_purchase_3_99
purchase_4_99,8fus82,gf_purchase_4_99,fb_purchase_4_99,d1yx1v,gf_gf_purchase_4_99,fb_fb_purchase_4_99
purchase_9_99,vmqjdx,gf_purchase_9_99,fb_purchase_9_99,t9zz0h,gf_gf_purchase_9_99,fb_fb_purchase_9_99
purchase_14_99,9fzryr,gf_purchase_14_99,fb_purchase_14_99,3xcnzd,gf_gf_purchase_14_99,fb_fb_purchase_14_99
purchase_19_99,3dk3dx,gf_purchase_19_99,fb_purchase_19_99,1wqx2l,gf_gf_purchase_19_99,fb_fb_purchase_19_99
purchase_22_99,j1u996,gf_purchase_22_99,fb_purchase_22_99,spxgot,gf_gf_purchase_22_99,fb_fb_purchase_22_99
purchase_29_99,esqyay,gf_purchase_29_99,fb_purchase_29_99,vl4h9f,gf_gf_purchase_29_99,fb_fb_purchase_29_99
purchase_49_99,h2mgbw,gf_purchase_49_99,fb_purchase_49_99,bvxjc6,gf_gf_purchase_49_99,fb_fb_purchase_49_99
purchase_99_99,g8d5p0,gf_purchase_99_99,fb_purchase_99_99,6v9cp2,gf_gf_purchase_99_99,fb_fb_purchase_99_99
